"","tpgeschlecht","tpalter_1","ab0500p","dg0102p","gemeindegroessenklasse","db2000p","ea1700p","tb0007p","eb1203pug03","th0202h","ba1100h","tw0110w","ba0100h","ba0600h","ba1300hu01","ba1300hu02","ba1300hu03","ba1300hu04","ba1400h","tw0023g","ba0200h","tw0413w","tl0001p","ed4600p","dj0400h","ba3200h","th0291h","dd0100p","dd0200p"
"1",2,67,4,5,2,1,-2,4,-2,1,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",0,-4,-1,-4,5,-4,-4
"2",2,85,2,4,2,1,-2,88,-2,2,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",1,-4,-1,-4,8,-4,-4
"3",1,84,2,4,2,1,-2,88,-2,2,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",1,-4,-1,-4,8,-4,-4
"4",2,80,2,3,2,1,-2,3,-2,2,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",1,-4,-1,-4,10,-4,-4
"5",1,73,2,8,2,1,-2,3,-2,2,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",1,-4,-1,-4,10,-4,-4
"6",1,31,2,8,2,8,1,3,452,3,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",1,-4,-1,-4,14,-4,-4
"7",1,9,1,90,2,1,-3,-3,-3,3,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",0,-4,-1,-4,14,-4,-4
"8",2,34,2,7,2,1,1,3,643,3,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",1,-4,-1,-4,14,-4,-4
"9",2,46,1,7,2,1,1,3,811,1,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",0,-4,-1,-4,13,-4,-4
"10",2,44,2,14,2,1,1,43,841,3,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",1,-4,-1,-4,18,-4,-4
"11",1,54,2,8,2,1,1,3,852,3,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",1,-4,-1,-4,18,-4,-4
"12",1,16,1,1,2,1,2,88,853,3,-4,"-4",-4,-4,-4,-4,-4,-4,-4,-4,-4,"-4",0,-4,-1,-4,18,-4,-4
"13",1,66,1,5,4,1,-2,33,-2,1,2,"53",1,3,0,1,0,0,4,6,4,"8.5",0,-2,-1,460,5,8,-5
"14",1,39,2,9,4,1,1,41,711,3,3,"27.5",1,3,1,0,0,0,1,6,4,"6.5",1,8,-1,775,15,8,-5
