Zone,SFD,SFA,MF234,MF5plus,MH,DevCapacity,DevLandUse
1,1,1,1,1,1,1634,3859.555312
2,1,1,1,1,1,481,1500.638144
3,1,1,1,1,1,1301,116.4710636
4,1,1,1,1,1,1376,95.5770212
5,1,1,1,1,1,796,5367.326066
6,1,1,1,1,1,894,7263.362747
7,1,1,1,1,1,290,8270.614882
8,1,1,1,1,1,83,13079.3828
9,1,1,1,1,1,76,9313.447251
10,1,1,1,1,1,287,3608.100846
11,1,1,1,1,1,571,6131.582483
12,1,1,1,1,1,57,4596.929952
13,1,1,1,1,1,111,4590.841307
14,1,1,1,1,1,459,3349.502468
15,1,1,1,1,1,216,8126.49304
16,1,1,1,1,1,273,9631.888659
17,1,1,1,1,1,135,420.7518892
18,1,1,1,1,1,96,1847.982274
19,1,1,1,1,1,342,860.0890505
20,1,1,1,1,1,136,104.701875
21,1,1,1,1,1,74,6800.208233
22,1,1,1,1,1,260,123.8679133
23,1,1,1,1,1,523,99.53922996
24,1,1,1,1,1,1134,129.1144712
25,1,1,1,1,1,125,11.47174135
26,1,1,1,1,1,400,6.26981857
27,1,1,1,1,1,101,31.21658725
28,1,1,1,1,1,348,8.525462151
29,1,1,1,1,1,492,3637.891304
30,1,1,1,1,1,357,69.37824954
31,1,1,1,1,1,474,4849.112777
32,1,1,1,1,1,317,4583.089476
33,1,1,1,1,1,722,459.6390819
34,1,1,1,1,1,210,10161.14146
35,1,1,1,1,1,48,1752.883771
36,1,1,1,1,1,130,2982.880553
38,1,1,1,1,1,634,3439.125528
39,1,1,1,1,1,241,4800.271371
40,1,1,1,1,1,602,2025.765937
41,1,1,1,1,1,602,80.56539795
42,1,1,1,1,1,3824,57.47336407
43,1,1,1,1,1,71,3679.351103
44,1,1,1,1,1,376,76.45550565
45,1,1,1,1,1,1105,8099.148014
47,1,1,1,1,1,14,9687.47807
48,1,1,1,1,1,177,1348.8308
50,1,1,1,1,1,282,39.91507851
51,1,1,1,1,1,79,2294.599793
52,1,1,1,1,1,515,101.5111509
53,1,1,1,1,1,196,1095.291858
54,1,1,1,1,1,116,89.6937938
55,1,1,1,1,1,742,51.48154029
56,1,1,1,1,1,1056,4039.03739
57,1,1,1,1,1,285,122.1585124
58,1,1,1,1,1,184,113.5019693
59,1,1,1,1,1,675,78.76578712
60,1,1,1,1,1,786,1110.161044
61,1,1,1,1,1,496,3710.256347
62,1,1,1,1,1,279,9768.664655
63,1,1,1,1,1,204,9352.460223
64,1,1,1,1,1,0,5430.4226
65,1,1,1,1,1,1684,3632.612286
66,1,1,1,1,1,8,238.7457261
67,1,1,1,1,1,440,2099.516406
68,1,1,1,1,1,1205,1328.749876
69,1,1,1,1,1,20,7612.650704
70,1,1,1,1,1,1028,3540.180472
71,1,1,1,1,1,440,3497.592391
72,1,1,1,1,1,367,5799.848015
73,1,1,1,1,1,611,6710.769785
74,1,1,1,1,1,550,4523.867665
75,1,1,1,1,1,54,117.3724657
76,1,1,1,1,1,143,49.27853612
77,1,1,1,1,1,127,7189.403022
78,1,1,1,1,1,29,128.0022571
79,1,1,1,1,1,141,11702.60721
80,1,1,1,1,1,63,9161.857897
81,1,1,1,1,1,165,10445.93551
82,1,1,1,1,1,276,13652.65712
83,1,1,1,1,1,64,460.2954
84,1,1,1,1,1,643,8767.404805
85,1,1,1,1,1,553,11159.33089
86,1,1,1,1,1,32,4438.69793
87,1,1,1,1,1,132,3481.622363
88,1,1,1,1,1,959,5591.719064
89,1,1,1,1,1,91,3024.779823
90,1,1,1,1,1,173,6271.170901
91,1,1,1,1,1,18,2880.411199
92,1,1,1,1,1,41,2738.642049
93,1,1,1,1,1,221,879.0789273
94,1,1,1,1,1,793,2748.583198
95,1,1,1,1,1,54,9367.967921
96,1,1,1,1,1,19,2119.063734
97,1,1,1,1,1,121,1477.65229
98,1,1,1,1,1,668,2166.889261
99,1,1,1,1,1,146,117.349064
100,1,1,1,1,1,348,13.57703377
101,1,1,1,1,1,5,9.586931549
102,1,1,1,1,1,0,3601.389648
103,1,1,1,1,1,112,8.938561781
104,1,1,1,1,1,0,2491.804976
105,1,1,1,1,1,60,1121.995218
106,1,1,1,1,1,13,2563.643671
107,1,1,1,1,1,48,3858.719473
108,1,1,1,1,1,1040,10.06957225
109,1,1,1,1,1,289,1207.241536
110,1,1,1,1,1,190,9.272519532
111,1,1,1,1,1,508,7.807263541
112,1,1,1,1,1,0,509.4882175
113,1,1,1,1,1,19,3608.23429
114,1,1,1,1,1,728.76556,18.09245244
115,1,1,1,1,1,64,1644.795713
116,1,1,1,1,1,544.3491,254.9638235
117,1,1,1,1,1,43,193.3325537
118,1,1,1,1,1,103,781.932323
119,1,1,1,1,1,164.10652,1318.036363
120,1,1,1,1,1,36.875656,9389.769998
121,1,1,1,1,1,5.9213204,1457.929886
122,1,1,1,1,1,22.217457,63.93823099
123,1,1,1,1,1,0,65.85711724
124,1,1,1,1,1,184.84541,2251.102518
125,1,1,1,1,1,98,65.15814115
126,1,1,1,1,1,97,125.2639446
127,1,1,1,1,1,343.52737,56.35166948
128,1,1,1,1,1,19.681213,147.4645746
129,1,1,1,1,1,61,115.4506805
130,1,1,1,1,1,45.526627,13.86344158
131,1,1,1,1,1,144.21745,242.9167724
132,1,1,1,1,1,0,1682.777378
133,1,1,1,1,1,37,61.20728904
134,1,1,1,1,1,315.6839,513.8951955
135,1,1,1,1,1,5237.2686,7.511384706
136,1,1,1,1,1,642.49335,13.08868358
137,1,1,1,1,1,215.2759,15.43724677
138,1,1,1,1,1,13,105.2858453
139,1,1,1,1,1,330.20258,1240.941229
140,1,1,1,1,1,221.814,745.9881965
141,1,1,1,1,1,366.47015,0.877848086
142,1,1,1,1,1,47.08886,18.58664106
143,1,1,1,1,1,386.0784,6.228144451
144,1,1,1,1,1,21,19.3306718
145,1,1,1,1,1,44.526627,92.80701345
146,1,1,1,1,1,281.68036,9.724402854
147,1,1,1,1,1,234.4253,48.54472392
148,1,1,1,1,1,653.9602,5.40636465
149,1,1,1,1,1,235.59024,9.913902628
150,1,1,1,1,1,332.11682,25.0533163
151,1,1,1,1,1,110.08173,12.19103735
152,1,1,1,1,1,193.34422,18.16350281
153,1,1,1,1,1,172.88582,9.666142336
154,1,1,1,1,1,325.37723,12.27725714
155,1,1,1,1,1,240.05325,6.943320036
156,1,1,1,1,1,167.2707,139.3396345
157,1,1,1,1,1,290.31396,75.45329584
158,1,1,1,1,1,821.6114,120.2359421
159,1,1,1,1,1,419.4468,154.3906614
160,1,1,1,1,1,105,120.9282054
161,1,1,1,1,1,89,112.0661534
162,1,1,1,1,1,172.81573,2419.96775
163,1,1,1,1,1,221.16754,140.5090529
164,1,1,1,1,1,290.43658,500.8478684
165,1,1,1,1,1,59,414.4939233
166,1,1,1,1,1,476.92413,8.036451707
167,1,1,1,1,1,155.26524,22.92644773
168,1,1,1,1,1,46,1.537457157
169,1,1,1,1,1,2.5362427,1.267943346
170,1,1,1,1,1,2,2.889066861
171,1,1,1,1,1,329.42438,2.718089077
172,1,1,1,1,1,745.4764,5.256806353
173,1,1,1,1,1,314.60974,7.69773817
174,1,1,1,1,1,171.5838,8.635177567
175,1,1,1,1,1,61.639618,8.473146158
176,1,1,1,1,1,242.64276,8.480175308
177,1,1,1,1,1,248.18417,11.6871413
178,1,1,1,1,1,2178.7334,10.26446647
179,1,1,1,1,1,291.73257,7.108661559
180,1,1,1,1,1,27,7.931258031
181,1,1,1,1,1,116.1879,7.481970259
182,1,1,1,1,1,76.16754,13.94071377
