id,Region,distanceToTransit,BBSR_Type,Pop+Emp,Population,Employment,Area,AGS,Housing,Special,Mixed Use,Industrial,Sport+Rec,remainder,x,y
1,1,500,10,5143,3714,1428,178559362.513184368610382,12070173,0.003212765,0.000213184,0.005219462,0.00487423,0.002995967,0.983484393,4477751.238,5892353.507
2,1,500,10,3614,2573,1040,74825272.382574185729027,12070173,0.010474303,0.000729843,0.012881236,0.014228922,0.011706936,0.949978761,4486155.836,5892995.298
3,1,500,10,875,692,183,26572720.672391656786203,12070028,0.000480471,4.46068E-05,0.000336744,9.83497E-05,0.000312234,0.998727595,4491130.337,5901158.289
4,1,500,10,703,561,142,37764010.142366856336594,12070300,8.79366E-05,0,0.000344825,0.000122073,6.05632E-05,0.999384603,4493638.156,5898406.524
5,1,500,10,3755,2896,859,119659514.173862248659134,12070325,0.00264587,7.9269E-05,0.005457469,0.001029021,0.003851049,0.986937322,4502194.942,5902624.632
6,1,500,10,478,408,70,24329860.553674429655075,12070145,0.008509692,0.000401406,0.014682185,0.00038164,0.013983421,0.962041655,4494736.466,5895230.905
7,1,500,10,3173,2490,683,96076443.303134113550186,12070244,0.003538881,0.000356813,0.001971031,0.000541627,0.003807943,0.989783704,4465929.841,5886295.4
8,1,500,10,696,547,149,41723011.262927070260048,12070246,5.76083E-05,0,0.000655053,5.14399E-05,0,0.999235899,4456032.361,5884197.505
9,1,500,10,716,656,60,39381258.716347351670265,12070153,0.007124959,0.003205024,0.002303913,0.003314966,0.000760543,0.983290595,4519478.077,5901144.623
10,1,500,10,691,521,170,23042087.799510080367327,12070096,0.000954896,0.000948969,0.003286945,0.005293744,0.001020148,0.988495297,4514816.593,5900786.904
11,1,500,10,5114,2516,2598,38139681.088309243321419,12070316,0.000276927,0,6.33917E-05,0.001377444,0.00140036,0.996881877,4512151.385,5895232.555
12,1,500,10,4359,3982,376,2560000.000000000000000,12070316,0.193946723,0.019948976,0.00780483,0.06641935,0.098217389,0.613662732,4511250,5891800
