id,zone,type,hhID,bedrooms,quality,monthlyCost,yearBuilt,coordX,coordY
1,3131,SFD,1,1,1,500,1995,783177.13,5840865.61
2,2764,SFD,2,1,1,500,1995,791980.71,5840472.11
3,749,SFD,3,1,1,500,1995,762604.23,5834912.54
4,3385,SFD,4,1,1,500,1995,771743.2,5814854.08
5,3471,SFD,5,1,1,500,1995,775971.3,5813539.11
6,26,SFD,6,1,1,500,1995,796376.46,5856902.6
7,506,SFD,7,1,1,500,1995,817416.64,5828815.7
8,2419,SFD,8,1,1,500,1995,786316.73,5814490.07
9,2520,SFD,9,1,1,500,1995,775409.31,5813218.77
10,2594,SFD,10,1,1,500,1995,764356.23,5836362.04
11,683,SFD,11,1,1,500,1995,783655.38,5841611.98
12,1503,SFD,12,1,1,500,1995,820272.89,5834066.7
13,3277,SFD,13,1,1,500,1995,806333.03,5846086.51
14,1793,SFD,14,1,1,500,1995,830119.43,5801891.6
15,2977,SFD,15,1,1,500,1995,807592.92,5836353.36
16,1033,SFD,16,1,1,500,1995,792195.54,5815274.96
17,1457,SFD,17,1,1,500,1995,808037.12,5855370.41
18,671,SFD,18,1,1,500,1995,814701.93,5808531.97
19,1744,SFD,19,1,1,500,1995,786850.68,5812530.67
20,710,SFD,20,1,1,500,1995,779686.59,5813518.09
21,3401,SFD,21,1,1,500,1995,785799.11,5852071.93
22,1864,SFD,22,1,1,500,1995,784283.24,5837657.65
23,1227,SFD,23,1,1,500,1995,770536.24,5834661.61
24,1914,SFD,24,1,1,500,1995,809873.84,5813639.51
25,1744,SFD,25,1,1,500,1995,767247.34,5811637.28
26,1242,SFD,26,1,1,500,1995,778969.98,5809449.22
27,2031,SFD,27,1,1,500,1995,802213.24,5815522.99
28,459,SFD,28,1,1,500,1995,787744.16,5803613.04
29,1888,SFD,29,1,1,500,1995,820017.14,5841936.22
30,3247,SFD,30,1,1,500,1995,769240.82,5849555.44
31,1231,SFD,31,1,1,500,1995,790358.75,5844392.01
32,1757,SFD,32,1,1,500,1995,806906.05,5843880.79
33,1431,SFD,33,1,1,500,1995,799102.18,5845800.11
34,1586,SFD,34,1,1,500,1995,809985.82,5803035.57
35,718,SFD,35,1,1,500,1995,781390.36,5812273.0
36,2728,SFD,36,1,1,500,1995,778806.69,5795986.71
37,713,SFD,37,1,1,500,1995,783285.33,5792468.86
38,594,SFD,38,1,1,500,1995,778311.02,5820161.49
39,3214,SFD,39,1,1,500,1995,787530.17,5800697.82
40,665,SFD,40,1,1,500,1995,776237.27,5813688.3
41,2380,SFD,41,1,1,500,1995,815117.87,5812743.73
42,566,SFD,42,1,1,500,1995,803964.95,5776048.8
43,1324,SFD,43,1,1,500,1995,795712.34,5857388.53
44,2738,SFD,44,1,1,500,1995,774413.62,5799761.74
45,3476,SFD,45,1,1,500,1995,799306.19,5856662.63
46,2535,SFD,46,1,1,500,1995,770388.45,5808831.89
47,308,SFD,47,1,1,500,1995,761080.97,5820886.92
48,2936,SFD,48,1,1,500,1995,778667.86,5820912.06
