id,dwelling,zone,hhSize,autos
1,1,3131,1,1
2,2,2764,1,1
3,3,749,1,1
4,4,3385,1,1
5,5,3471,1,1
6,6,26,1,1
7,7,506,1,1
8,8,2419,1,1
9,9,2520,1,1
10,10,2594,1,1
11,11,683,1,1
12,12,1503,1,1
13,13,3277,1,1
14,14,1793,1,1
15,15,2977,1,1
16,16,1033,1,1
17,17,1457,1,1
18,18,671,1,1
19,19,1744,1,1
20,20,710,1,1
21,21,3401,1,1
22,22,1864,1,1
23,23,1227,1,1
24,24,1914,1,1
25,25,1744,1,1
26,26,1242,1,1
27,27,2031,1,1
28,28,459,1,1
29,29,1888,1,1
30,30,3247,1,1
31,31,1231,1,1
32,32,1757,1,1
33,33,1431,1,1
34,34,1586,1,1
35,35,718,1,1
36,36,2728,1,1
37,37,713,1,1
38,38,594,1,1
39,39,3214,1,1
40,40,665,1,1
41,41,2380,1,1
42,42,566,1,1
43,43,1324,1,1
44,44,2738,1,1
45,45,3476,1,1
46,46,2535,1,1
47,47,308,1,1
48,48,2936,1,1
49,49,658,1,1
50,50,2944,1,1
51,51,2694,1,1
52,52,2941,1,1
53,53,59,1,1
54,54,3257,1,1
55,55,661,1,1
56,56,911,1,1
57,57,3214,1,1
58,58,3060,1,1
59,59,1262,1,1
60,60,4,1,1
61,61,1898,1,1
62,62,2820,1,1
63,63,2553,1,1
64,64,1102,1,1
65,65,2095,1,1
66,66,1795,1,1
67,67,1799,1,1
68,68,1720,1,1
69,69,3276,1,1
70,70,1000,1,1
71,71,2391,1,1
72,72,2,1,1
73,73,1454,1,1
74,74,2430,1,1
75,75,2074,1,1
76,76,734,1,1
77,77,1987,1,1
78,78,1961,1,1
79,79,3126,1,1
80,80,2094,1,1
81,81,2201,1,1
82,82,2095,1,1
83,83,1904,1,1
84,84,2143,1,1
85,85,3308,1,1
86,86,2594,1,1
87,87,2110,1,1
88,88,2245,1,1
89,89,2399,1,1
90,90,1480,1,1
91,91,2248,1,1
92,92,2197,1,1
93,93,424,1,1
94,94,796,1,1
95,95,760,1,1
96,96,3324,1,1
97,97,2230,1,1
98,98,2977,1,1
99,99,2977,1,1
100,100,829,1,1
101,101,871,1,1
102,102,1141,1,1
103,103,3033,1,1
104,104,30,1,1
105,105,3484,1,1
106,106,1412,1,1
107,107,210,1,1
108,108,2747,1,1
109,109,776,1,1
110,110,1023,1,1
111,111,2847,1,1
112,112,2605,1,1
113,113,1598,1,1
114,114,1452,1,1
115,115,2532,1,1
116,116,671,1,1
117,117,807,1,1
118,118,3296,1,1
119,119,1607,1,1
120,120,2180,1,1
121,121,2247,1,1
122,122,2729,1,1
123,123,2459,1,1
124,124,2824,1,1
125,125,1153,1,1
126,126,833,1,1
127,127,323,1,1
128,128,3424,1,1
129,129,3434,1,1
130,130,903,1,1
131,131,1353,1,1
132,132,1673,1,1
133,133,739,1,1
134,134,433,1,1
135,135,1673,1,1
136,136,3169,1,1
137,137,26,1,1
138,138,1943,1,1
139,139,2128,1,1
140,140,934,1,1
141,141,874,1,1
142,142,3028,1,1
143,143,222,1,1
144,144,924,1,1
145,145,2405,1,1
146,146,1304,1,1
147,147,1779,1,1
148,148,2094,1,1
149,149,3448,1,1
150,150,1242,1,1
151,151,131,1,1
152,152,1536,1,1
153,153,2022,1,1
154,154,256,1,1
155,155,1482,1,1
156,156,1800,1,1
157,157,1601,1,1
158,158,2652,1,1
159,159,343,1,1
160,160,942,1,1
161,161,3285,1,1
162,162,3497,1,1
163,163,1741,1,1
164,164,2611,1,1
165,165,1066,1,1
166,166,2071,1,1
167,167,3031,1,1
168,168,1030,1,1
169,169,1030,1,1
170,170,1292,1,1
171,171,325,1,1
172,172,2935,1,1
