id,hhid,age,gender,relationShip,race,occupation,driversLicense,workplace,income,nationality,education,homeZone,disability,schoolId
1,1,38,2,single,unknown,2,true,-1,2200,UNKNOWN,2,3131,0,0
2,2,37,1,single,unknown,2,true,-1,1533,UNKNOWN,2,2764,2,0
3,3,40,2,single,unknown,2,true,-1,1952,UNKNOWN,2,749,2,0
4,4,77,1,single,unknown,2,true,-1,1533,UNKNOWN,2,3385,0,0
5,5,31,1,single,unknown,2,true,-1,1952,UNKNOWN,2,3471,0,0
6,6,26,2,single,unknown,2,true,-1,1167,UNKNOWN,2,26,0,0
7,7,50,2,single,unknown,2,true,-1,2200,UNKNOWN,2,506,0,0
8,8,7,2,single,unknown,2,false,-1,1571,UNKNOWN,2,2419,0,0
9,9,88,1,single,unknown,2,true,-1,1200,UNKNOWN,2,2520,2,0
10,10,65,2,single,unknown,2,true,-1,250,UNKNOWN,2,2594,0,0
11,11,72,2,single,unknown,2,true,-1,1100,UNKNOWN,2,683,0,0
12,12,9,2,single,unknown,2,false,-1,1833,UNKNOWN,2,1503,0,0
13,13,5,2,single,unknown,2,false,-1,2429,UNKNOWN,2,3277,0,0
14,14,33,1,single,unknown,2,true,-1,3300,UNKNOWN,2,1793,0,0
15,15,32,2,single,unknown,2,true,-1,1533,UNKNOWN,2,2977,0,0
16,16,14,1,single,unknown,2,false,-1,1650,UNKNOWN,2,1033,0,0
17,17,32,1,single,unknown,2,true,-1,1094,UNKNOWN,2,1457,0,0
18,18,68,1,single,unknown,2,true,-1,800,UNKNOWN,2,671,0,0
19,19,32,2,single,unknown,2,true,-1,833,UNKNOWN,2,1744,0,0
20,20,74,2,single,unknown,2,true,-1,1867,UNKNOWN,2,710,0,0
21,21,90,2,single,unknown,2,true,-1,800,UNKNOWN,2,3401,0,0
22,22,5,1,single,unknown,2,false,-1,923,UNKNOWN,2,1864,0,0
23,23,44,2,single,unknown,2,true,-1,1571,UNKNOWN,2,1227,0,0
24,24,63,1,single,unknown,2,true,-1,1167,UNKNOWN,2,1914,2,0
25,25,93,1,single,unknown,2,true,-1,1533,UNKNOWN,2,1744,2,0
26,26,35,1,single,unknown,2,true,-1,2154,UNKNOWN,2,1242,0,0
27,27,72,1,single,unknown,2,true,-1,1533,UNKNOWN,2,2031,0,0
28,28,60,1,single,unknown,2,true,-1,700,UNKNOWN,2,459,2,0
29,29,67,1,single,unknown,2,true,-1,3400,UNKNOWN,2,1888,2,0
30,30,67,1,single,unknown,2,true,-1,2200,UNKNOWN,2,3247,0,0
31,31,99,2,single,unknown,2,true,-1,1533,UNKNOWN,2,1231,0,0
32,32,32,2,single,unknown,2,true,-1,1167,UNKNOWN,2,1757,0,0
33,33,17,2,single,unknown,2,false,-1,1367,UNKNOWN,2,1431,0,0
34,34,55,1,single,unknown,2,true,-1,1533,UNKNOWN,2,1586,0,0
35,35,42,2,single,unknown,2,true,-1,2346,UNKNOWN,2,718,0,0
36,36,55,2,single,unknown,2,true,-1,2550,UNKNOWN,2,2728,0,0
37,37,82,1,single,unknown,2,true,-1,1200,UNKNOWN,2,713,0,0
38,38,65,2,single,unknown,2,true,-1,250,UNKNOWN,2,594,0,0
39,39,15,1,single,unknown,2,false,-1,1867,UNKNOWN,2,3214,0,0
40,40,66,1,single,unknown,2,true,-1,2200,UNKNOWN,2,665,0,0
41,41,58,1,single,unknown,2,true,-1,3300,UNKNOWN,2,2380,2,0
42,42,34,2,single,unknown,2,true,-1,2733,UNKNOWN,2,566,0,0
43,43,16,2,single,unknown,2,false,-1,1400,UNKNOWN,2,1324,0,0
44,44,53,2,single,unknown,2,true,-1,3400,UNKNOWN,2,2738,0,0
45,45,56,1,single,unknown,2,true,-1,700,UNKNOWN,2,3476,2,0
46,46,37,2,single,unknown,2,true,-1,1833,UNKNOWN,2,2535,0,0
47,47,53,1,single,unknown,2,true,-1,2200,UNKNOWN,2,308,0,0
48,48,84,2,single,unknown,2,true,-1,2733,UNKNOWN,2,2936,0,0
49,49,39,1,single,unknown,2,true,-1,667,UNKNOWN,2,658,0,0
50,50,47,2,single,unknown,2,true,-1,2200,UNKNOWN,2,2944,0,0
51,51,43,2,single,unknown,2,true,-1,1200,UNKNOWN,2,2694,0,0
52,52,87,1,single,unknown,2,true,-1,1867,UNKNOWN,2,2941,2,0
53,53,42,2,single,unknown,2,true,-1,250,UNKNOWN,2,59,0,0
54,54,31,1,single,unknown,2,true,-1,1867,UNKNOWN,2,3257,0,0
55,55,30,1,single,unknown,2,true,-1,2200,UNKNOWN,2,661,2,0
56,56,66,2,single,unknown,2,true,-1,1167,UNKNOWN,2,911,0,0
57,57,65,2,single,unknown,2,true,-1,1167,UNKNOWN,2,3214,2,0
58,58,55,1,single,unknown,2,true,-1,3400,UNKNOWN,2,3060,0,0
59,59,62,2,single,unknown,2,true,-1,2200,UNKNOWN,2,1262,0,0
60,60,82,1,single,unknown,2,true,-1,3300,UNKNOWN,2,4,2,0
61,61,6,2,single,unknown,2,false,-1,2179,UNKNOWN,2,1898,0,0
62,62,69,2,single,unknown,2,true,-1,2733,UNKNOWN,2,2820,2,0
63,63,31,1,single,unknown,2,true,-1,2300,UNKNOWN,2,2553,0,0
64,64,4,1,single,unknown,2,false,-1,1556,UNKNOWN,2,1102,0,0
65,65,31,1,single,unknown,2,true,-1,1952,UNKNOWN,2,2095,0,0
66,66,45,1,single,unknown,2,true,-1,833,UNKNOWN,2,1795,0,0
67,67,73,1,single,unknown,2,true,-1,2800,UNKNOWN,2,1799,0,0
68,68,30,1,single,unknown,2,true,-1,1833,UNKNOWN,2,1720,0,0
69,69,91,2,single,unknown,2,true,-1,4067,UNKNOWN,2,3276,0,0
70,70,2,2,single,unknown,2,false,-1,2278,UNKNOWN,2,1000,0,0
71,71,37,2,single,unknown,2,true,-1,1952,UNKNOWN,2,2391,0,0
72,72,79,1,single,unknown,2,true,-1,1167,UNKNOWN,2,2,0,0
73,73,88,1,single,unknown,2,true,-1,800,UNKNOWN,2,1454,2,0
74,74,71,1,single,unknown,2,true,-1,1533,UNKNOWN,2,2430,0,0
75,75,40,1,single,unknown,2,true,-1,2429,UNKNOWN,2,2074,0,0
76,76,96,1,single,unknown,2,true,-1,467,UNKNOWN,2,734,0,0
77,77,68,2,single,unknown,2,true,-1,800,UNKNOWN,2,1987,0,0
78,78,70,2,single,unknown,2,true,-1,2300,UNKNOWN,2,1961,2,0
79,79,72,1,single,unknown,2,true,-1,2300,UNKNOWN,2,3126,0,0
80,80,36,1,single,unknown,2,true,-1,1094,UNKNOWN,2,2094,0,0
81,81,51,2,single,unknown,2,true,-1,1650,UNKNOWN,2,2201,0,0
82,82,47,1,single,unknown,2,true,-1,2733,UNKNOWN,2,2095,0,0
83,83,58,2,single,unknown,2,true,-1,2733,UNKNOWN,2,1904,0,0
84,84,55,1,single,unknown,2,true,-1,1200,UNKNOWN,2,2143,2,0
85,85,56,2,single,unknown,2,true,-1,1533,UNKNOWN,2,3308,0,0
86,86,64,1,single,unknown,2,true,-1,1120,UNKNOWN,2,2594,0,0
87,87,55,2,single,unknown,2,true,-1,2300,UNKNOWN,2,2110,0,0
88,88,34,1,single,unknown,2,true,-1,1200,UNKNOWN,2,2245,0,0
89,89,20,2,single,unknown,2,true,-1,920,UNKNOWN,2,2399,0,0
90,90,51,2,single,unknown,2,true,-1,4100,UNKNOWN,2,1480,2,0
91,91,43,1,single,unknown,2,true,-1,2733,UNKNOWN,2,2248,0,0
92,92,18,1,single,unknown,2,true,-1,1167,UNKNOWN,2,2197,0,0
93,93,11,2,single,unknown,2,false,-1,1435,UNKNOWN,2,424,0,0
94,94,29,2,single,unknown,2,true,-1,2050,UNKNOWN,2,796,0,0
95,95,8,1,single,unknown,2,false,-1,2346,UNKNOWN,2,760,0,0
96,96,42,2,single,unknown,2,true,-1,3300,UNKNOWN,2,3324,0,0
97,97,87,1,single,unknown,2,true,-1,1533,UNKNOWN,2,2230,2,0
98,98,67,1,single,unknown,2,true,-1,1750,UNKNOWN,2,2977,2,0
99,99,27,2,single,unknown,2,true,-1,3400,UNKNOWN,2,2977,0,0
100,100,40,2,single,unknown,2,true,-1,700,UNKNOWN,2,829,0,0
101,101,36,2,single,unknown,2,true,-1,1333,UNKNOWN,2,871,0,0
102,102,92,2,single,unknown,2,true,-1,1533,UNKNOWN,2,1141,0,0
103,103,70,1,single,unknown,2,true,-1,1533,UNKNOWN,2,3033,0,0
104,104,43,1,single,unknown,2,true,-1,2542,UNKNOWN,2,30,0,0
105,105,60,2,single,unknown,2,true,-1,1750,UNKNOWN,2,3484,0,0
106,106,52,2,single,unknown,2,true,-1,2733,UNKNOWN,2,1412,0,0
107,107,84,2,single,unknown,2,true,-1,1167,UNKNOWN,2,210,2,0
108,108,92,2,single,unknown,2,true,-1,1167,UNKNOWN,2,2747,0,0
109,109,75,2,single,unknown,2,true,-1,1200,UNKNOWN,2,776,0,0
110,110,43,1,single,unknown,2,true,-1,2050,UNKNOWN,2,1023,0,0
111,111,52,2,single,unknown,2,true,-1,800,UNKNOWN,2,2847,0,0
112,112,16,2,single,unknown,2,false,-1,3050,UNKNOWN,2,2605,0,0
113,113,42,1,single,unknown,2,true,-1,2278,UNKNOWN,2,1598,0,0
114,114,22,1,single,unknown,2,true,-1,467,UNKNOWN,2,1452,0,0
115,115,57,1,single,unknown,2,true,-1,2733,UNKNOWN,2,2532,0,0
116,116,58,2,single,unknown,2,true,-1,3400,UNKNOWN,2,671,0,0
