id,zone,type,hhID,bedrooms,quality,monthlyCost,yearBuilt,coordX,coordY
1,1,"SF",1,2,4,1000,0,2604.0,21954.0
2,1,"SF",2,2,4,1000,0,4212.0,23295.0
3,1,"SF",3,2,4,1000,0,3373.0,20168.0
4,1,"SF",4,2,4,1000,0,2048.0,24524.0
5,1,"SF",5,2,4,1000,0,2401.0,23093.0
6,1,"SF",6,2,4,1000,0,4212.0,20041.0
7,1,"SF",7,2,4,1000,0,4433.0,24473.0
8,1,"SF",8,2,4,1000,0,362.0,23685.0
9,1,"SF",9,2,4,1000,0,3416.0,20232.0
10,1,"SF",10,2,4,1000,0,1231.0,20795.0
11,1,"SF",11,2,4,1000,0,578.0,22541.0
12,1,"SF",12,2,4,1000,0,2312.0,22507.0
13,1,"SF",13,2,4,1000,0,3712.0,22925.0
14,1,"SF",14,2,4,1000,0,3796.0,21291.0
15,1,"SF",15,2,4,1000,0,393.0,22309.0
16,1,"SF",16,2,4,1000,0,86.0,24906.0
17,1,"SF",17,2,4,1000,0,1054.0,23538.0
18,1,"SF",18,2,4,1000,0,4866.0,22729.0
19,1,"SF",19,2,4,1000,0,2032.0,21760.0
20,1,"SF",20,2,4,1000,0,276.0,23262.0
21,1,"SF",21,2,4,1000,0,1548.0,21728.0
22,1,"SF",22,2,4,1000,0,4200.0,23412.0
23,1,"SF",23,2,4,1000,0,322.0,22332.0
24,1,"SF",24,2,4,1000,0,4021.0,20775.0
25,1,"SF",25,2,4,1000,0,616.0,22119.0
26,1,"SF",26,2,4,1000,0,1338.0,20392.0
27,1,"SF",27,2,4,1000,0,4032.0,23899.0
28,1,"SF",28,2,4,1000,0,676.0,21266.0
29,1,"SF",29,2,4,1000,0,1931.0,20358.0
30,1,"SF",30,2,4,1000,0,2198.0,24462.0
31,1,"SF",31,2,4,1000,0,951.0,22580.0
32,1,"SF",32,2,4,1000,0,3316.0,23112.0
33,1,"SF",33,2,4,1000,0,2269.0,23736.0
34,1,"SF",34,2,4,1000,0,312.0,24757.0
35,1,"SF",35,2,4,1000,0,762.0,20464.0
36,1,"SF",36,2,4,1000,0,1606.0,23953.0
37,1,"SF",37,2,4,1000,0,1744.0,20967.0
38,1,"SF",38,2,4,1000,0,2336.0,22084.0
39,1,"SF",39,2,4,1000,0,2553.0,24387.0
40,1,"SF",40,2,4,1000,0,303.0,23282.0
41,1,"SF",41,2,4,1000,0,4482.0,22746.0
42,1,"SF",42,2,4,1000,0,4339.0,23394.0
43,1,"SF",43,2,4,1000,0,1389.0,22002.0
44,1,"SF",44,2,4,1000,0,2714.0,21697.0
45,1,"SF",45,2,4,1000,0,3021.0,21712.0
46,1,"SF",46,2,4,1000,0,2713.0,23413.0
47,1,"SF",47,2,4,1000,0,4729.0,22766.0
48,1,"SF",48,2,4,1000,0,1122.0,22921.0
49,1,"SF",49,2,4,1000,0,3153.0,21304.0
50,1,"SF",50,2,4,1000,0,3056.0,20128.0
51,1,"SF",51,2,4,1000,0,3839.0,22983.0
52,1,"SF",52,2,4,1000,0,1225.0,21482.0
53,1,"SF",53,2,4,1000,0,4264.0,24520.0
54,1,"SF",54,2,4,1000,0,1845.0,23827.0
55,1,"SF",55,2,4,1000,0,1159.0,23333.0
56,1,"SF",56,2,4,1000,0,1354.0,22149.0
57,1,"SF",57,2,4,1000,0,1769.0,23166.0
58,1,"SF",58,2,4,1000,0,47.0,20172.0
59,1,"SF",59,2,4,1000,0,4054.0,24434.0
60,1,"SF",60,2,4,1000,0,1909.0,22181.0
61,1,"SF",61,2,4,1000,0,3675.0,20231.0
62,1,"SF",62,2,4,1000,0,1298.0,24324.0
63,1,"SF",63,2,4,1000,0,3265.0,22261.0
64,1,"SF",64,2,4,1000,0,1765.0,20654.0
65,1,"SF",65,2,4,1000,0,1649.0,22097.0
66,1,"SF",66,2,4,1000,0,1426.0,22851.0
67,1,"SF",67,2,4,1000,0,675.0,23481.0
68,1,"SF",68,2,4,1000,0,4047.0,20763.0
69,1,"SF",69,2,4,1000,0,4408.0,23070.0
70,1,"SF",70,2,4,1000,0,4878.0,21687.0
71,1,"SF",71,2,4,1000,0,4927.0,21074.0
72,1,"SF",72,2,4,1000,0,1951.0,24724.0
73,1,"SF",73,2,4,1000,0,4626.0,24436.0
74,1,"SF",74,2,4,1000,0,1971.0,24223.0
75,1,"SF",75,2,4,1000,0,2298.0,24535.0
