id,dwelling,hhSize,autos
1,1,1,0
2,2,2,0
3,3,3,1
4,4,3,1
5,5,1,1
6,6,3,0
7,7,2,1
8,8,1,1
9,9,1,2
10,10,1,1
11,11,3,0
12,12,1,0
13,13,1,2
14,14,1,2
15,15,2,1
16,16,3,1
17,17,1,2
18,18,3,0
19,19,3,0
20,20,3,0
21,21,1,2
22,22,3,2
23,23,1,1
24,24,1,2
25,25,1,2
26,26,2,0
27,27,3,1
28,28,3,0
29,29,3,2
30,30,3,2
31,31,2,1
32,32,1,2
33,33,3,2
34,34,2,1
35,35,1,2
36,36,1,2
37,37,3,1
38,38,1,2
39,39,2,2
40,40,1,1
41,41,3,1
42,42,2,2
43,43,2,2
44,44,3,1
45,45,1,2
46,46,3,1
47,47,1,2
48,48,3,2
49,49,3,0
50,50,3,1
51,51,2,0
52,52,3,0
53,53,1,1
54,54,1,0
55,55,3,1
56,56,1,0
57,57,3,0
58,58,3,0
59,59,1,1
60,60,2,2
61,61,1,0
62,62,2,2
63,63,2,2
64,64,1,1
65,65,3,1
66,66,3,2
67,67,3,1
68,68,1,2
69,69,3,2
70,70,1,1
71,71,1,0
72,72,2,0
73,73,3,0
74,74,1,2
75,75,3,0
76,76,1,0
77,77,1,0
78,78,3,1
79,79,3,0
80,80,3,0
81,81,3,2
82,82,1,0
83,83,1,1
84,84,2,0
85,85,1,1
86,86,3,0
87,87,2,1
88,88,1,0
89,89,1,0
90,90,1,0
91,91,1,0
92,92,3,2
93,93,2,1
94,94,1,0
95,95,3,1
96,96,3,0
97,97,1,0
98,98,1,0
99,99,2,2
100,100,1,1
101,101,3,0
102,102,3,2
103,103,3,2
104,104,2,2
105,105,2,2
106,106,2,1
107,107,2,0
108,108,1,0
109,109,1,1
110,110,1,0
111,111,3,0
112,112,1,0
113,113,1,1
114,114,2,0
115,115,2,1
116,116,1,1
117,117,3,2
118,118,2,2
119,119,3,0
120,120,3,0
121,121,1,1
122,122,1,2
123,123,1,2
124,124,2,2
125,125,3,1
126,126,1,0
127,127,1,1
128,128,1,1
129,129,1,0
130,130,1,1
131,131,1,1
132,132,3,0
133,133,3,2
134,134,1,1
135,135,2,0
136,136,2,2
137,137,2,1
138,138,1,2
139,139,3,0
140,140,1,1
141,141,2,2
142,142,3,1
143,143,1,0
