id,zone,personId,type,coordX,coordY
1,13,4,"IND",13985.0,14588.0
2,13,5,"IND",11108.0,11372.0
3,14,7,"IND",18734.0,13660.0
4,11,10,"IND",1862.0,11452.0
5,8,11,"IND",14487.0,15092.0
6,18,14,"IND",11611.0,6876.0
7,13,15,"IND",14236.0,14164.0
8,23,22,"IND",12364.0,1956.0
9,13,23,"IND",14989.0,10596.0
10,13,24,"IND",12113.0,12380.0
11,13,25,"IND",14738.0,14668.0
12,9,32,"IND",17866.0,18812.0
13,13,34,"IND",10492.0,11100.0
14,5,35,"IND",22615.0,22884.0
15,22,37,"IND",5241.0,172.0
16,12,43,"IND",9351.0,13932.0
17,18,45,"IND",11976.0,6220.0
18,4,49,"IND",19100.0,23004.0
19,13,52,"IND",11725.0,11644.0
20,12,53,"IND",9853.0,14436.0
21,13,55,"IND",12478.0,11724.0
22,13,57,"IND",14602.0,14860.0
23,13,62,"IND",12227.0,12148.0
24,10,64,"IND",20355.0,19940.0
25,12,65,"IND",7981.0,12228.0
26,8,66,"IND",10104.0,15364.0
27,13,70,"IND",12730.0,12652.0
28,13,77,"IND",10857.0,10444.0
29,18,81,"IND",13483.0,9084.0
30,13,85,"IND",10606.0,10868.0
31,13,87,"IND",13232.0,13156.0
32,18,89,"IND",10377.0,6331.0
33,13,90,"IND",13003.0,13619.0
34,13,91,"IND",10126.0,10403.0
35,13,100,"IND",12752.0,14043.0
36,13,102,"IND",10879.0,11835.0
37,13,107,"IND",13505.0,14123.0
38,13,113,"IND",10628.0,10907.0
39,18,114,"IND",13254.0,9547.0
40,13,119,"IND",11382.0,12339.0
41,13,125,"IND",14007.0,14627.0
42,18,131,"IND",11130.0,7763.0
43,13,140,"IND",13756.0,10051.0
44,11,141,"IND",1884.0,12843.0
45,18,143,"IND",14509.0,5131.0
46,13,144,"IND",11633.0,13267.0
47,13,147,"IND",14258.0,10555.0
48,9,155,"IND",18368.0,19316.0
49,13,156,"IND",10994.0,11603.0
50,13,157,"IND",13117.0,13388.0
51,21,170,"IND",743.0,676.0
52,13,180,"IND",13871.0,14819.0
53,13,183,"IND",11496.0,12107.0
54,14,187,"IND",18619.0,13891.0
55,12,189,"IND",6245.0,11179.0
56,13,190,"IND",14373.0,10323.0
57,11,191,"IND",1998.0,12611.0
58,12,200,"IND",9122.0,14395.0
59,4,202,"IND",16747.0,23035.0
60,6,207,"IND",4875.0,15827.0
61,13,218,"IND",12500.0,13115.0
62,1,224,"IND",4624.0,24899.0
63,11,225,"IND",2249.0,13539.0
64,13,229,"IND",14395.0,11715.0
65,13,230,"IND",12020.0,14003.0
66,13,232,"IND",14144.0,10787.0
67,8,234,"IND",11769.0,18075.0
68,13,239,"IND",14897.0,12218.0
69,13,244,"IND",12522.0,14506.0
70,18,250,"IND",14646.0,6290.0
71,8,254,"IND",12271.0,18578.0
72,18,255,"IND",10399.0,7722.0
73,25,260,"IND",23025.0,10.0
74,2,261,"IND",5148.0,21794.0
75,13,262,"IND",12774.0,14082.0
76,13,267,"IND",10901.0,13226.0
77,13,271,"IND",13527.0,10514.0
78,13,273,"IND",10650.0,12298.0
79,23,283,"IND",13276.0,938.0
80,14,284,"IND",17386.0,13347.0
81,20,289,"IND",20011.0,6987.0
82,13,295,"IND",12135.0,13771.0
83,8,297,"IND",14760.0,16059.0
84,13,300,"IND",12888.0,13851.0
85,14,301,"IND",15514.0,12491.0
86,24,308,"IND",17637.0,4275.0
87,13,310,"IND",10263.0,11563.0
88,10,311,"IND",23390.0,19355.0
89,13,313,"IND",11016.0,12995.0
90,13,316,"IND",13139.0,14779.0
91,13,318,"IND",10765.0,12067.0
92,25,319,"IND",23893.0,4859.0
93,12,321,"IND",6518.0,13499.0
94,13,322,"IND",13641.0,10283.0
95,13,323,"IND",11267.0,12571.0
96,13,324,"IND",13412.0,10746.0
97,21,326,"IND",1038.0,3034.0
98,6,330,"IND",3161.0,16170.0
99,13,331,"IND",10787.0,13458.0
100,13,334,"IND",13915.0,11250.0
101,11,338,"IND",1540.0,14890.0
102,2,343,"IND",8663.0,21674.0
103,16,344,"IND",1289.0,8962.0
104,1,345,"IND",4417.0,21754.0
105,13,346,"IND",12042.0,10394.0
106,13,349,"IND",14166.0,12178.0
107,13,352,"IND",11791.0,14466.0
108,13,353,"IND",14919.0,12258.0
109,13,359,"IND",12544.0,10898.0
110,13,361,"IND",14668.0,12682.0
111,13,369,"IND",12293.0,14970.0
112,1,370,"IND",1404.0,23730.0
113,13,371,"IND",14029.0,11018.0
114,2,372,"IND",6152.0,22802.0
115,18,375,"IND",13778.0,6442.0
116,13,382,"IND",11906.0,14234.0
117,13,384,"IND",14531.0,11522.0
118,21,388,"IND",1655.0,3306.0
119,1,389,"IND",4280.0,21946.0
120,12,392,"IND",7408.0,14738.0
121,13,393,"IND",10033.0,12026.0
122,13,394,"IND",12157.0,13810.0
123,13,395,"IND",14782.0,12450.0
124,6,397,"IND",2910.0,15242.0
125,13,400,"IND",10536.0,12530.0
126,13,402,"IND",12659.0,10666.0
127,13,407,"IND",10285.0,12954.0
128,21,410,"IND",289.0,2118.0
129,13,415,"IND",12915.0,14406.0
130,19,418,"IND",15038.0,6190.0
131,13,419,"IND",12664.0,14830.0
132,12,422,"IND",5791.0,12622.0
