id,hhid,age,gender,relationShip,occupation,driversLicense,workplace,income
1,1,27,1,"single",2,false,-1,500
2,2,42,1,"married",1,true,1,2000
3,2,42,2,"married",1,true,2,2000
4,3,40,1,"married",2,false,-1,500
5,3,40,2,"married",1,true,3,2000
6,3,0,1,"child",3,false,-1,0
7,4,39,1,"married",2,false,-1,500
8,4,38,2,"married",1,true,4,2000
9,4,2,2,"child",3,false,-1,0
10,5,29,2,"single",2,false,-1,500
11,6,47,1,"married",1,true,5,2000
12,6,44,2,"married",2,false,-1,500
13,6,14,2,"child",3,false,-1,0
14,7,68,1,"married",1,true,6,2000
15,7,64,2,"married",1,true,7,2000
16,8,24,1,"single",1,true,8,2000
17,9,48,2,"single",1,true,9,2000
18,10,65,1,"single",1,true,10,2000
19,11,34,1,"married",1,true,11,2000
20,11,30,2,"married",2,false,-1,500
21,11,2,1,"child",3,false,-1,0
22,12,59,1,"single",1,true,12,2000
23,13,39,2,"single",1,true,13,2000
24,14,52,2,"single",2,false,-1,500
25,15,59,1,"married",1,true,14,2000
26,15,57,2,"married",1,true,15,2000
27,16,75,1,"married",1,true,16,2000
28,16,70,2,"married",1,true,17,2000
29,16,18,1,"child",3,false,-1,0
30,17,67,2,"single",1,true,18,2000
31,18,78,1,"married",1,true,19,2000
32,18,73,2,"married",1,true,20,2000
33,18,18,2,"child",3,false,-1,0
34,19,37,1,"married",1,true,21,2000
35,19,32,2,"married",2,false,-1,500
36,19,7,1,"child",3,false,-1,0
37,20,64,1,"married",2,false,-1,500
38,20,59,2,"married",1,true,22,2000
39,20,8,1,"child",3,false,-1,0
40,21,78,2,"single",1,true,23,2000
41,22,29,1,"married",1,true,24,2000
42,22,27,2,"married",1,true,25,2000
43,22,8,1,"child",3,false,-1,0
44,23,49,2,"single",1,true,26,2000
45,24,78,2,"single",2,false,-1,500
46,25,77,2,"single",1,true,27,2000
47,26,42,1,"married",1,true,28,2000
48,26,38,2,"married",2,false,-1,500
49,27,72,1,"married",2,false,-1,500
50,27,67,2,"married",2,false,-1,500
51,27,10,2,"child",3,false,-1,0
52,28,20,1,"married",1,true,29,2000
53,28,18,2,"married",2,false,-1,500
