id,zone,type,hhID,bedrooms,quality,monthlyCost,yearBuilt,coordX,coordY
1,1,"SF",1,2,4,1000,0,-9830.0,10015.0
2,1,"SF",2,2,4,1000,0,-10289.0,9607.0
3,1,"SF",3,2,4,1000,0,-9981.0,9743.0
4,1,"SF",4,2,4,1000,0,-9972.0,9567.0
5,1,"SF",5,2,4,1000,0,-10102.0,9921.0
6,1,"SF",6,2,4,1000,0,-10084.0,9719.0
7,1,"SF",7,2,4,1000,0,-10280.0,9712.0
8,1,"SF",8,2,4,1000,0,-10256.0,9781.0
9,1,"SF",9,2,4,1000,0,-9521.0,9946.0
10,1,"SF",10,2,4,1000,0,-10271.0,10404.0
11,1,"SF",11,2,4,1000,0,-9930.0,10224.0
12,1,"SF",12,2,4,1000,0,-9951.0,10237.0
13,1,"SF",13,2,4,1000,0,-10442.0,9896.0
14,1,"SF",14,2,4,1000,0,-10176.0,9535.0
15,1,"SF",15,2,4,1000,0,-9920.0,9965.0
16,1,"SF",16,2,4,1000,0,-9840.0,9663.0
17,1,"SF",17,2,4,1000,0,-9910.0,10434.0
18,1,"SF",18,2,4,1000,0,-9582.0,9854.0
19,1,"SF",19,2,4,1000,0,-10368.0,9893.0
20,1,"SF",20,2,4,1000,0,-9633.0,9973.0
21,1,"SF",21,2,4,1000,0,-10366.0,10010.0
22,1,"SF",22,2,4,1000,0,-10102.0,9845.0
23,1,"SF",23,2,4,1000,0,-10135.0,9892.0
24,1,"SF",24,2,4,1000,0,-9717.0,9507.0
25,1,"SF",25,2,4,1000,0,-9647.0,9772.0
26,1,"SF",26,2,4,1000,0,-10320.0,10340.0
27,1,"SF",27,2,4,1000,0,-9981.0,9640.0
28,1,"SF",28,2,4,1000,0,-10453.0,9784.0
29,1,"SF",29,2,4,1000,0,-9680.0,10324.0
30,1,"SF",30,2,4,1000,0,-10446.0,9825.0
31,1,"SF",31,2,4,1000,0,-10164.0,10428.0
32,1,"SF",32,2,4,1000,0,-9720.0,9991.0
33,1,"SF",33,2,4,1000,0,-10321.0,10322.0
34,1,"SF",34,2,4,1000,0,-10382.0,9625.0
35,1,"SF",35,2,4,1000,0,-10036.0,9544.0
36,1,"SF",36,2,4,1000,0,-10373.0,10196.0
37,1,"SF",37,2,4,1000,0,-10181.0,9709.0
38,1,"SF",38,2,4,1000,0,-10116.0,9985.0
39,1,"SF",39,2,4,1000,0,-9828.0,9919.0
40,1,"SF",40,2,4,1000,0,-10133.0,10331.0
41,1,"SF",41,2,4,1000,0,-10022.0,10157.0
42,1,"SF",42,2,4,1000,0,-10193.0,9734.0
43,1,"SF",43,2,4,1000,0,-9579.0,10258.0
44,1,"SF",44,2,4,1000,0,-9899.0,10140.0
45,1,"SF",45,2,4,1000,0,-9880.0,9804.0
46,1,"SF",46,2,4,1000,0,-9997.0,10279.0
47,1,"SF",47,2,4,1000,0,-9695.0,9846.0
48,1,"SF",48,2,4,1000,0,-9858.0,10013.0
49,1,"SF",49,2,4,1000,0,-9758.0,9853.0
50,1,"SF",50,2,4,1000,0,-9680.0,9693.0
51,1,"SF",51,2,4,1000,0,-10398.0,9825.0
52,1,"SF",52,2,4,1000,0,-9853.0,10097.0
53,1,"SF",53,2,4,1000,0,-10038.0,9871.0
54,1,"SF",54,2,4,1000,0,-10456.0,9987.0
55,1,"SF",55,2,4,1000,0,-10054.0,10314.0
56,1,"SF",56,2,4,1000,0,-10308.0,9591.0
57,1,"SF",57,2,4,1000,0,-9535.0,9954.0
58,1,"SF",58,2,4,1000,0,-10016.0,10072.0
59,1,"SF",59,2,4,1000,0,-9651.0,10358.0
60,1,"SF",60,2,4,1000,0,-10255.0,10104.0
61,1,"SF",61,2,4,1000,0,-10437.0,10466.0
62,1,"SF",62,2,4,1000,0,-10464.0,10389.0
63,1,"SF",63,2,4,1000,0,-10364.0,10439.0
64,1,"SF",64,2,4,1000,0,-9946.0,9764.0
65,1,"SF",65,2,4,1000,0,-9737.0,9557.0
66,1,"SF",66,2,4,1000,0,-9595.0,10342.0
67,1,"SF",67,2,4,1000,0,-9688.0,9979.0
68,1,"SF",68,2,4,1000,0,-10072.0,10375.0
69,1,"SF",69,2,4,1000,0,-9775.0,9782.0
70,1,"SF",70,2,4,1000,0,-9666.0,10251.0
71,1,"SF",71,2,4,1000,0,-9821.0,9831.0
72,1,"SF",72,2,4,1000,0,-9808.0,10455.0
73,1,"SF",73,2,4,1000,0,-10007.0,10438.0
74,1,"SF",74,2,4,1000,0,-9593.0,10135.0
75,1,"SF",75,2,4,1000,0,-9731.0,9532.0
76,1,"SF",76,2,4,1000,0,-9592.0,10441.0
77,1,"SF",77,2,4,1000,0,-9964.0,10109.0
78,1,"SF",78,2,4,1000,0,-9839.0,9518.0
79,1,"SF",79,2,4,1000,0,-10399.0,10288.0
80,1,"SF",80,2,4,1000,0,-9919.0,9872.0
81,1,"SF",81,2,4,1000,0,-9707.0,10077.0
82,1,"SF",82,2,4,1000,0,-10202.0,10404.0
83,1,"SF",83,2,4,1000,0,-9517.0,10216.0
84,1,"SF",84,2,4,1000,0,-10380.0,10180.0
85,1,"SF",85,2,4,1000,0,-10364.0,10432.0
86,1,"SF",86,2,4,1000,0,-9579.0,9899.0
87,1,"SF",87,2,4,1000,0,-10439.0,9737.0
88,1,"SF",88,2,4,1000,0,-10467.0,9621.0
89,1,"SF",89,2,4,1000,0,-9753.0,10475.0
90,1,"SF",90,2,4,1000,0,-9992.0,10131.0
91,1,"SF",91,2,4,1000,0,-10217.0,9688.0
92,1,"SF",92,2,4,1000,0,-10023.0,9541.0
93,1,"SF",93,2,4,1000,0,-10050.0,10272.0
94,1,"SF",94,2,4,1000,0,-10292.0,9935.0
95,1,"SF",95,2,4,1000,0,-9545.0,10325.0
96,1,"SF",96,2,4,1000,0,-10492.0,9917.0
97,1,"SF",97,2,4,1000,0,-10167.0,9795.0
98,1,"SF",98,2,4,1000,0,-10049.0,10221.0
99,1,"SF",99,2,4,1000,0,-9737.0,9770.0
100,1,"SF",100,2,4,1000,0,-9856.0,10425.0
101,1,"SF",101,2,4,1000,0,-10446.0,10464.0
102,1,"SF",102,2,4,1000,0,-9519.0,10149.0
