id,zone,personId,type,coordX,coordY
1,1,1,"IND",-9515.0,10088.0
2,12,3,"IND",-5392.0,-128.0
3,18,4,"IND",234.0,-4840.0
4,2,5,"IND",-4638.0,9952.0
5,25,7,"IND",9987.0,-10408.0
6,21,8,"IND",-9889.0,-9624.0
7,18,9,"IND",-264.0,-5336.0
8,13,12,"IND",-136.0,456.0
9,13,13,"IND",489.0,96.0
10,1,15,"IND",-10387.0,9880.0
11,25,16,"IND",10238.0,-9832.0
12,5,18,"IND",10366.0,10312.0
13,12,19,"IND",-5008.0,-400.0
14,1,20,"IND",-9885.0,10384.0
15,16,21,"IND",-10259.0,-5328.0
16,18,23,"IND",-149.0,-4568.0
17,3,24,"IND",476.0,9720.0
18,25,26,"IND",9600.0,-10496.0
19,21,30,"IND",-9775.0,-9856.0
20,12,32,"IND",-4647.0,-64.0
21,13,33,"IND",-22.0,224.0
22,18,35,"IND",102.0,-4640.0
23,12,37,"IND",-5273.0,-352.0
24,1,39,"IND",-10145.0,10440.0
25,13,41,"IND",481.0,-272.0
26,21,44,"IND",-10396.0,-10136.0
27,5,51,"IND",10230.0,10152.0
28,13,54,"IND",357.0,-56.0
29,18,55,"IND",-17.0,-5416.0
30,1,56,"IND",-9894.0,10368.0
31,1,67,"IND",-10268.0,9656.0
32,25,69,"IND",9877.0,-10169.0
33,13,70,"IND",-497.0,119.0
34,18,71,"IND",-374.0,-5097.0
35,1,72,"IND",-9748.0,9543.0
36,13,74,"IND",379.0,335.0
37,23,75,"IND",5.0,-10377.0
38,1,78,"IND",-9872.0,10407.0
39,21,79,"IND",-10246.0,-9953.0
40,25,80,"IND",9882.0,-10161.0
41,25,81,"IND",9507.0,-9873.0
42,21,84,"IND",-10370.0,-9737.0
43,5,85,"IND",10256.0,9551.0
44,13,89,"IND",384.0,343.0
45,13,90,"IND",9.0,-369.0
46,5,91,"IND",10133.0,9767.0
47,12,92,"IND",-5242.0,55.0
48,1,97,"IND",-10132.0,9816.0
49,10,98,"IND",10494.0,5103.0
50,13,99,"IND",-383.0,-112.0
51,21,100,"IND",-9757.0,-9824.0
52,18,102,"IND",371.0,-4681.0
53,1,103,"IND",-10004.0,9607.0
54,12,113,"IND",-4881.0,391.0
55,13,114,"IND",-255.0,-321.0
56,22,116,"IND",-5127.0,-10177.0
57,5,119,"IND",10498.0,10111.0
58,25,121,"IND",9622.0,-10105.0
59,1,122,"IND",-9753.0,9535.0
60,1,125,"IND",-9625.0,10327.0
61,13,126,"IND",0.0,-385.0
62,25,127,"IND",10124.0,-9601.0
63,13,129,"IND",-251.0,39.0
64,20,130,"IND",9895.0,-4785.0
65,12,131,"IND",-5480.0,-497.0
66,12,132,"IND",-5356.0,287.0
67,1,134,"IND",-9731.0,9575.0
68,18,135,"IND",397.0,-5282.0
69,12,136,"IND",-4978.0,6.0
70,25,137,"IND",10146.0,-10210.0
71,12,140,"IND",-5229.0,78.0
72,5,141,"IND",9899.0,10222.0
73,13,143,"IND",-475.0,-490.0
74,12,144,"IND",-5352.0,294.0
75,13,145,"IND",274.0,-418.0
76,21,148,"IND",-9599.0,-10274.0
77,13,150,"IND",27.0,14.0
78,13,151,"IND",150.0,-202.0
79,12,152,"IND",-5224.0,438.0
80,25,158,"IND",9886.0,-10153.0
81,1,159,"IND",-10489.0,10487.0
82,13,163,"IND",-365.0,271.0
83,13,166,"IND",260.0,-441.0
84,18,167,"IND",388.0,-4649.0
85,13,168,"IND",14.0,-9.0
86,1,169,"IND",-9863.0,9775.0
87,12,171,"IND",-5237.0,63.0
88,21,172,"IND",-10110.0,-10145.0
89,13,175,"IND",-484.0,495.0
90,18,178,"IND",-361.0,-4721.0
91,13,180,"IND",265.0,-433.0
92,15,184,"IND",10393.0,359.0
93,12,185,"IND",-4982.0,-1.0
94,21,186,"IND",-9859.0,-10217.0
95,25,191,"IND",9767.0,-9929.0
96,18,194,"IND",-88.0,-4754.0
97,13,196,"IND",-462.0,-466.0
98,1,197,"IND",-10339.0,9670.0
99,5,199,"IND",10287.0,9958.0
100,14,203,"IND",5415.0,-250.0
101,13,204,"IND",40.0,390.0
102,1,206,"IND",-9837.0,10174.0
103,1,207,"IND",-10211.0,10462.0
104,21,209,"IND",-10083.0,-9746.0
105,12,210,"IND",-5458.0,-106.0
106,18,216,"IND",-334.0,-5322.0
107,19,217,"IND",5291.0,-5034.0
