id,zone,personId,type,coordX,coordY
1,12,1,"IND",-3515.0,2088.0
2,13,3,"IND",-1392.0,-1128.0
3,18,4,"IND",1234.0,-3840.0
4,5,5,"IND",9362.0,8952.0
5,1,7,"IND",-8013.0,7592.0
6,1,8,"IND",-10889.0,9376.0
7,1,9,"IND",-8264.0,11664.0
8,13,12,"IND",-136.0,-544.0
9,21,13,"IND",-7511.0,-11904.0
10,13,15,"IND",-387.0,-120.0
11,13,16,"IND",2238.0,2168.0
12,1,18,"IND",-9634.0,11312.0
13,21,19,"IND",-12008.0,-11400.0
14,13,20,"IND",115.0,384.0
15,12,21,"IND",-7259.0,-2328.0
16,21,23,"IND",-8149.0,-8568.0
17,13,24,"IND",-524.0,-1280.0
18,18,26,"IND",1600.0,-4496.0
19,12,30,"IND",-5775.0,-856.0
20,1,32,"IND",-7647.0,11936.0
21,5,33,"IND",9978.0,9224.0
22,1,35,"IND",-7898.0,12360.0
23,15,37,"IND",9727.0,-352.0
24,21,39,"IND",-12145.0,-7560.0
25,12,41,"IND",-4519.0,-272.0
26,25,44,"IND",7604.0,-12136.0
27,13,51,"IND",230.0,152.0
28,5,54,"IND",8357.0,7944.0
29,12,55,"IND",-4017.0,1584.0
30,12,56,"IND",-6894.0,-1632.0
31,13,67,"IND",732.0,656.0
32,13,69,"IND",-2123.0,-1169.0
33,13,70,"IND",503.0,1119.0
34,12,71,"IND",-7374.0,-2097.0
35,21,72,"IND",-9748.0,-8457.0
36,18,74,"IND",-1621.0,-5665.0
37,22,75,"IND",-3995.0,-8377.0
38,12,78,"IND",-6872.0,-1593.0
39,25,79,"IND",10754.0,-7953.0
40,13,80,"IND",-1118.0,-161.0
41,13,81,"IND",1507.0,2127.0
42,25,84,"IND",8630.0,-9737.0
43,5,85,"IND",11256.0,7551.0
44,5,89,"IND",9384.0,10343.0
45,5,90,"IND",12009.0,7631.0
46,18,91,"IND",-867.0,-4233.0
47,12,92,"IND",-3242.0,-1945.0
48,13,97,"IND",868.0,1816.0
49,18,98,"IND",-1506.0,-5897.0
50,12,99,"IND",-4383.0,888.0
51,13,100,"IND",-1757.0,-1824.0
52,18,102,"IND",1371.0,-2681.0
53,12,103,"IND",-6004.0,-393.0
54,18,113,"IND",1119.0,-3609.0
55,21,114,"IND",-11255.0,-11321.0
56,1,116,"IND",-8127.0,7823.0
57,13,119,"IND",-502.0,111.0
58,5,121,"IND",11622.0,11895.0
59,5,122,"IND",9247.0,10535.0
60,3,125,"IND",2375.0,8327.0
61,13,126,"IND",0.0,615.0
62,25,127,"IND",12124.0,-7601.0
63,12,129,"IND",-5251.0,1039.0
64,25,130,"IND",11895.0,-10785.0
65,13,131,"IND",-480.0,1503.0
66,13,132,"IND",1644.0,-1713.0
67,1,134,"IND",-10731.0,10575.0
68,13,135,"IND",2397.0,-282.0
69,21,136,"IND",-9978.0,-7994.0
70,18,137,"IND",2146.0,-6210.0
71,13,140,"IND",-229.0,1078.0
72,13,141,"IND",-2101.0,222.0
73,13,143,"IND",525.0,-2490.0
74,13,144,"IND",-2352.0,-706.0
75,13,145,"IND",274.0,1582.0
76,13,148,"IND",-1599.0,726.0
77,18,150,"IND",1027.0,-6986.0
78,19,151,"IND",3150.0,-5202.0
79,5,152,"IND",10776.0,8438.0
80,5,158,"IND",9886.0,10847.0
81,12,159,"IND",-7489.0,-513.0
82,12,163,"IND",-5365.0,1271.0
83,19,166,"IND",7260.0,-6441.0
84,18,167,"IND",388.0,-3649.0
85,11,168,"IND",-11986.0,-9.0
86,13,169,"IND",137.0,1775.0
87,18,171,"IND",-2237.0,-5937.0
88,13,172,"IND",890.0,1855.0
89,13,175,"IND",-1484.0,495.0
90,13,178,"IND",639.0,2279.0
91,13,180,"IND",-1735.0,-433.0
92,13,184,"IND",1393.0,2359.0
93,5,185,"IND",9018.0,10999.0
94,18,186,"IND",1141.0,-7217.0
95,25,191,"IND",8767.0,-9929.0
96,25,194,"IND",10912.0,-11754.0
97,13,196,"IND",-1462.0,534.0
98,13,197,"IND",661.0,-1330.0
99,13,199,"IND",-1713.0,958.0
100,25,203,"IND",11415.0,-11250.0
101,1,204,"IND",-10960.0,12390.0
102,13,206,"IND",1163.0,-826.0
103,12,207,"IND",-6211.0,1462.0
104,1,209,"IND",-8083.0,9254.0
105,13,210,"IND",-458.0,-2106.0
106,21,216,"IND",-8334.0,-10322.0
107,21,217,"IND",-10709.0,-8034.0
108,10,223,"IND",12419.0,4758.0
109,13,224,"IND",44.0,-1602.0
110,18,225,"IND",2168.0,-4818.0
111,13,226,"IND",-207.0,2470.0
112,21,232,"IND",-11096.0,-8770.0
113,21,233,"IND",-8471.0,-11482.0
114,1,234,"IND",-11348.0,10302.0
115,5,235,"IND",11278.0,8942.0
116,13,236,"IND",-594.0,1734.0
117,13,237,"IND",2031.0,-978.0
118,1,240,"IND",-10845.0,10806.0
119,1,242,"IND",-8220.0,9446.0
120,25,243,"IND",9908.0,-7762.0
121,13,244,"IND",-2467.0,-474.0
122,25,246,"IND",9657.0,-8690.0
123,18,250,"IND",2282.0,-5050.0
124,13,252,"IND",410.0,-2258.0
125,18,253,"IND",-1964.0,-4970.0
126,13,255,"IND",159.0,-1834.0
127,18,256,"IND",-2215.0,-4546.0
128,13,259,"IND",-2211.0,-382.0
129,13,260,"IND",415.0,1906.0
130,18,261,"IND",-2462.0,-6310.0
131,21,262,"IND",-9836.0,-7670.0
132,18,265,"IND",-1709.0,-4878.0
133,12,266,"IND",-4083.0,2410.0
134,25,268,"IND",8040.0,-10806.0
135,13,270,"IND",666.0,-2166.0
136,13,271,"IND",-1206.0,626.0
137,13,272,"IND",1419.0,-2086.0
138,13,273,"IND",-1458.0,1050.0
139,18,275,"IND",1168.0,-6662.0
140,5,276,"IND",9296.0,11130.0
141,21,281,"IND",-8079.0,-11582.0
142,12,282,"IND",-5955.0,1554.0
143,21,285,"IND",-8330.0,-11158.0
144,25,287,"IND",10780.0,-12397.0
145,18,288,"IND",-1594.0,-5109.0
146,8,292,"IND",529.0,6675.0
147,21,293,"IND",-11845.0,-11037.0
148,13,295,"IND",1283.0,-1893.0
149,1,296,"IND",-11092.0,10395.0
150,13,297,"IND",1031.0,2179.0
151,23,301,"IND",-1343.0,-10533.0
152,18,306,"IND",1785.0,-6389.0
153,21,309,"IND",-10590.0,-9101.0
154,21,310,"IND",-8466.0,-12317.0
155,13,312,"IND",-841.0,-29.0
156,5,316,"IND",12287.0,9115.0
157,1,317,"IND",-10088.0,11402.0
158,1,318,"IND",-7964.0,8187.0
159,25,320,"IND",9661.0,-8173.0
160,13,321,"IND",1807.0,2.0
161,21,322,"IND",-10568.0,-7710.0
162,25,323,"IND",11556.0,-10926.0
163,12,327,"IND",-5819.0,1362.0
164,25,328,"IND",12309.0,-9494.0
165,1,330,"IND",-10066.0,7794.0
166,1,331,"IND",-7942.0,9578.0
167,5,332,"IND",9683.0,11866.0
168,12,333,"IND",-7189.0,1010.0
169,1,334,"IND",-9563.0,8298.0
170,13,335,"IND",-2440.0,82.0
171,13,336,"IND",186.0,2370.0
172,18,338,"IND",-1687.0,-3486.0
173,25,343,"IND",10939.0,-11198.0
174,1,344,"IND",-11938.0,10586.0
175,25,345,"IND",10688.0,-12126.0
176,13,349,"IND",-202.0,1634.0
177,1,350,"IND",-7577.0,8922.0
178,5,351,"IND",9547.0,12058.0
179,21,353,"IND",-7828.0,-10654.0
180,13,355,"IND",300.0,2138.0
181,13,363,"IND",-2074.0,778.0
182,21,366,"IND",-9951.0,-12438.0
183,13,368,"IND",-2325.0,-150.0
184,12,370,"IND",-4198.0,-2358.0
185,5,371,"IND",8428.0,11282.0
186,1,375,"IND",-9449.0,8066.0
187,21,376,"IND",-11823.0,-9646.0
