id,hhid,age,gender,relationShip,occupation,driversLicense,workplace,income
1,1,29,1,"married",1,true,1,24000
2,1,25,2,"married",2,false,-1,500
3,2,67,2,"single",1,true,2,24000
4,3,38,1,"married",1,true,3,24000
5,3,38,2,"married",1,true,4,24000
6,3,5,2,"child",3,false,-1,0
7,4,29,1,"married",1,true,5,24000
8,4,29,2,"married",1,true,6,24000
9,5,53,1,"married",1,true,7,24000
10,5,50,2,"married",2,false,-1,500
11,5,18,1,"child",3,false,-1,0
12,6,36,1,"married",1,true,8,24000
13,6,36,2,"married",1,true,9,24000
14,6,13,2,"child",3,false,-1,0
15,7,26,1,"single",1,true,10,24000
16,8,66,1,"married",1,true,11,24000
17,8,62,2,"married",2,false,-1,500
18,9,62,1,"married",1,true,12,24000
19,9,58,2,"married",1,true,13,24000
20,10,58,1,"married",1,true,14,24000
21,10,58,2,"married",1,true,15,24000
22,10,18,2,"child",3,false,-1,0
23,11,30,1,"married",1,true,16,24000
24,11,25,2,"married",1,true,17,24000
25,12,63,1,"married",2,false,-1,500
26,12,58,2,"married",1,true,18,24000
27,13,68,1,"married",2,false,-1,500
28,13,64,2,"married",2,false,-1,500
29,14,51,1,"single",2,false,-1,500
30,15,65,2,"single",1,true,19,24000
31,16,70,1,"single",2,false,-1,500
32,17,22,1,"single",1,true,20,24000
33,18,21,2,"single",1,true,21,24000
34,19,60,1,"single",2,false,-1,500
35,20,66,1,"married",1,true,22,24000
36,20,63,2,"married",2,false,-1,500
37,21,74,1,"single",1,true,23,24000
38,22,67,1,"married",2,false,-1,500
39,22,63,2,"married",1,true,24,24000
40,22,10,1,"child",3,false,-1,0
41,23,50,2,"single",1,true,25,24000
42,24,45,1,"married",2,false,-1,500
43,24,44,2,"married",2,false,-1,500
44,25,33,1,"married",1,true,26,24000
45,25,28,2,"married",2,false,-1,500
46,26,55,1,"married",2,false,-1,500
47,26,53,2,"married",2,false,-1,500
48,26,14,1,"child",3,false,-1,0
49,27,44,1,"married",2,false,-1,500
50,27,44,2,"married",2,false,-1,500
51,28,67,1,"married",1,true,27,24000
52,28,67,2,"married",2,false,-1,500
53,28,18,2,"child",3,false,-1,0
54,29,30,1,"married",1,true,28,24000
55,29,27,2,"married",1,true,29,24000
56,30,67,1,"married",1,true,30,24000
57,30,66,2,"married",2,false,-1,500
58,30,18,1,"child",3,false,-1,0
59,31,47,1,"married",2,false,-1,500
60,31,46,2,"married",2,false,-1,500
61,31,5,2,"child",3,false,-1,0
62,32,54,1,"married",2,false,-1,500
63,32,50,2,"married",2,false,-1,500
64,32,18,1,"child",3,false,-1,0
65,33,65,1,"married",2,false,-1,500
66,33,63,2,"married",2,false,-1,500
67,34,64,2,"single",1,true,31,24000
68,35,37,1,"single",2,false,-1,500
69,36,45,2,"single",1,true,32,24000
