id,zone,personId,type,coordX,coordY
1,13,1,"IND",1485.0,2088.0
2,3,3,"IND",-1392.0,8872.0
3,13,4,"IND",1234.0,1160.0
4,13,5,"IND",-638.0,-1048.0
5,8,7,"IND",1987.0,2592.0
6,18,8,"IND",-889.0,-5624.0
7,12,9,"IND",-3264.0,1664.0
8,7,12,"IND",-5136.0,4456.0
9,5,13,"IND",12489.0,8096.0
10,13,15,"IND",-387.0,-120.0
11,12,16,"IND",-2762.0,2168.0
12,1,18,"IND",-9634.0,11312.0
13,14,19,"IND",2992.0,-1400.0
14,18,20,"IND",115.0,-4616.0
15,16,21,"IND",-12259.0,-7328.0
16,18,23,"IND",1851.0,-3568.0
17,14,24,"IND",4476.0,-1280.0
18,13,26,"IND",1600.0,504.0
19,13,30,"IND",-775.0,-856.0
20,16,32,"IND",-7647.0,-3064.0
21,7,33,"IND",-5022.0,4224.0
22,25,35,"IND",12102.0,-7640.0
23,15,37,"IND",9727.0,-352.0
24,13,39,"IND",-2145.0,2440.0
25,3,41,"IND",481.0,9728.0
26,16,44,"IND",-12396.0,-7136.0
27,14,51,"IND",5230.0,152.0
28,14,54,"IND",3357.0,-2056.0
29,13,55,"IND",983.0,1584.0
30,13,56,"IND",-1894.0,-1632.0
31,10,67,"IND",10732.0,5656.0
32,10,69,"IND",7877.0,3831.0
33,12,70,"IND",-4497.0,1119.0
34,21,71,"IND",-12374.0,-12097.0
35,18,72,"IND",252.0,-3457.0
36,1,74,"IND",-11621.0,9335.0
37,8,75,"IND",1005.0,6623.0
38,21,78,"IND",-11872.0,-11593.0
39,14,79,"IND",5754.0,2047.0
40,12,80,"IND",-6118.0,-161.0
41,13,81,"IND",1507.0,2127.0
42,2,84,"IND",-6370.0,10263.0
43,23,85,"IND",1256.0,-12449.0
44,5,89,"IND",9384.0,10343.0
45,11,90,"IND",-7991.0,-2369.0
46,13,91,"IND",-867.0,767.0
47,13,92,"IND",1758.0,-1945.0
48,5,97,"IND",10868.0,11816.0
49,6,98,"IND",-11506.0,4103.0
50,15,99,"IND",10617.0,888.0
51,13,100,"IND",-1757.0,-1824.0
52,14,102,"IND",6371.0,2319.0
53,13,103,"IND",-1004.0,-393.0
54,13,113,"IND",1119.0,1391.0
55,8,114,"IND",-1255.0,3679.0
56,14,116,"IND",6873.0,-2177.0
57,12,119,"IND",-5502.0,111.0
58,13,121,"IND",1622.0,1895.0
59,13,122,"IND",-753.0,535.0
60,5,125,"IND",12375.0,8327.0
61,13,126,"IND",0.0,615.0
62,14,127,"IND",7124.0,2399.0
63,1,129,"IND",-10251.0,11039.0
64,13,130,"IND",1895.0,-785.0
65,13,131,"IND",-480.0,1503.0
66,18,132,"IND",1644.0,-6713.0
67,12,134,"IND",-5731.0,575.0
68,6,135,"IND",-7603.0,4718.0
69,12,136,"IND",-4978.0,2006.0
70,5,137,"IND",12146.0,8790.0
71,16,140,"IND",-10229.0,-3922.0
72,13,141,"IND",-2101.0,222.0
73,14,143,"IND",5525.0,-2490.0
74,13,144,"IND",-2352.0,-706.0
75,13,145,"IND",274.0,1582.0
76,18,148,"IND",-1599.0,-4274.0
77,22,150,"IND",-3973.0,-11986.0
78,12,151,"IND",-6850.0,-202.0
79,18,152,"IND",776.0,-6562.0
80,13,158,"IND",-114.0,847.0
81,13,159,"IND",-2489.0,-513.0
82,18,163,"IND",-365.0,-3729.0
83,21,166,"IND",-7740.0,-11441.0
84,13,167,"IND",388.0,1351.0
85,18,168,"IND",-1986.0,-5009.0
86,8,169,"IND",137.0,6775.0
87,8,171,"IND",-2237.0,4063.0
88,8,172,"IND",890.0,6855.0
89,1,175,"IND",-11484.0,10495.0
90,25,178,"IND",10639.0,-7721.0
91,8,180,"IND",-1735.0,4567.0
92,5,184,"IND",11393.0,12359.0
93,18,185,"IND",-982.0,-4001.0
94,13,186,"IND",1141.0,-2217.0
95,11,191,"IND",-11233.0,71.0
96,15,194,"IND",10912.0,-1754.0
97,3,196,"IND",-1462.0,10534.0
98,11,197,"IND",-9339.0,-1330.0
99,13,199,"IND",-1713.0,958.0
100,2,203,"IND",-3585.0,8750.0
101,8,204,"IND",-960.0,7390.0
102,8,206,"IND",1163.0,4174.0
103,13,207,"IND",-1211.0,1462.0
104,14,209,"IND",6917.0,-746.0
105,23,210,"IND",-458.0,-12106.0
106,13,216,"IND",1666.0,-322.0
107,13,217,"IND",-709.0,1966.0
108,16,223,"IND",-7581.0,-5242.0
109,13,224,"IND",44.0,-1602.0
110,13,225,"IND",2168.0,182.0
111,14,226,"IND",4793.0,2470.0
112,18,232,"IND",-1096.0,-3770.0
113,12,233,"IND",-3471.0,-1482.0
114,13,234,"IND",-1348.0,302.0
115,13,235,"IND",1278.0,-1058.0
116,13,236,"IND",-594.0,1734.0
117,1,237,"IND",-7969.0,9022.0
118,12,240,"IND",-5845.0,806.0
119,10,242,"IND",11780.0,4446.0
120,7,243,"IND",-5092.0,7238.0
121,14,244,"IND",2533.0,-474.0
122,22,246,"IND",-5343.0,-8690.0
123,5,250,"IND",12282.0,9950.0
124,4,252,"IND",5410.0,7742.0
125,13,253,"IND",-1964.0,30.0
126,5,255,"IND",10159.0,8166.0
127,18,256,"IND",-2215.0,-4546.0
128,12,259,"IND",-7211.0,-382.0
129,13,260,"IND",415.0,1906.0
130,13,261,"IND",-2462.0,-1310.0
131,12,262,"IND",-4836.0,2330.0
132,13,265,"IND",-1709.0,122.0
